query,correct_answer,correct_sources
сим,"Слишком широкий запрос. Возможно вы имели в виду:
Как оформить новую SIM-карту
Как активировать SIM-карту саморегистрации
Что делать, если потерялась SIM-карта

","https://support.mts.ru/mts_mobilnaya_svyaz/oformlenie-novoi-sim-karti/kak-oformit-novuyu-sim-kartu
https://support.mts.ru/mts_mobilnaya_svyaz/oformlenie-novoi-sim-karti/kak-aktivirovatsim-kartu-samoregistratsii
https://support.mts.ru/mts_mobilnaya_svyaz/blokirovka-nomera/dobrovolnaya-blokirovka"
купить симку,"Если вы ищете, где купить новую SIM-карту МТС, выберите один из способов:
На сайте МТС
Оформить SIM-карту на сайте можно, если вы гражданин РФ старше 18 лет.
1. На сайте выберите номер телефона и тариф
2. Введите контактный номер любого сотового оператора и подтвердите его кодом из СМС
3. Подтвердите данные паспорта и подпишите договор
4. Введите реквизиты банковской карты и оплатите заказ
5. Выберите способ получения SIM-карты. Можно заказать бесплатную доставку или запланировать самовывоз из ближайшего салона экосистемы МТС

В салоне экосистемы МТС
Обратитесь в салон экосистемы МТС с паспортом. На водительское удостоверение зарегистрировать номер не получится.
Какие документы потребуются, если:
- вы оформляете номер на другого человека — нотариальная доверенность от него и ваш паспорт
- вы оформляете номер на ребёнка от 14 до 18 лет — письменное согласие от родителя, оба паспорта ребёнка и родителя и их присутствие",https://support.mts.ru/mts_mobilnaya_svyaz/oformlenie-novoi-sim-karti/kak-oformit-novuyu-sim-kartu
активировать сим,"Самостоятельно зарегистрировать можно три SIM-карты в месяц.
Чтобы активировать SIM-карту саморегистрации:
1. Подключите телефон к интернету через Wi-Fi или к мобильному интернету другой SIM-карты
2. Подготовьте QR-код для активации SIM-карты из комплекта от неё. Вы найдёте его на вкладыше внутри конверта или на самом конверте
3. Отсканируйте камерой телефона QR-код для активации SIM-карты
4. На открывшемся сайте пройдите все шаги активации.

Если не получается зарегистрировать SIM-карту, свяжитесь с нами по номеру 8 800 250-08-90, мы разберёмся в ситуации и поможем вам.",https://support.mts.ru/mts_mobilnaya_svyaz/oformlenie-novoi-sim-karti/kak-aktivirovatsim-kartu-samoregistratsii
потерял сим,"Что делать, если потерялась SIM-карта:
1. Заблокируйте номер телефона
Чтобы вашим номером не воспользовались посторонние люди, подключите услугу «Добровольная блокировка» одним из способов:
- позвоните в контактный центр по номеру 8 800 250-08-90
- в салоне экосистемы МТС с паспортом
Пока действует «Добровольная блокировка», услуги связи на номере не работают, плата за тариф и услуги не списывается, кроме платы за саму блокировку.

В первые 14 дней «Добровольная блокировка» бесплатная. Затем списывается 1,1 руб/день.

2. Восстановите SIM-карту
- в салоне экосистемы МТС с паспортом. Если номер оформлен на другого человека, потребуется нотариальная доверенность от владельца и ваш паспорт.
- с помощью платной доставки
На новой SIM-карте сохранятся прежний номер телефона, тариф, баланс и услуги. После замены утерянная SIM-карта перестанет работать.

3. Отключите добровольную блокировку, чтобы снова пользоваться номером
- в приложении Мой МТС или в Личном кабинете — инструкция есть в статье Добровольная блокировка
- в контактном центре по номеру 8 800 250-08-90
- в салоне экосистемы МТС с паспортом

В первые 24 часа после замены SIM-карты могут быть ограничены отправка и получение СМС. Это мера безопасности для защиты баланса номера и привязанных к нему сервисов, включая банковские приложения и Госуслуги.

",https://support.mts.ru/mts_mobilnaya_svyaz/zamena-nomera-ili-sim-karti-i-pereoformlenie/chto-delat-esli-poteryalas-sim-karta
заблокировать номер,"Чтобы вашим номером не воспользовались посторонние люди, подключите услугу «Добровольная блокировка» одним из способов:
- позвоните в контактный центр по номеру 8 800 250-08-90
- в салоне экосистемы МТС с паспортом
Пока действует «Добровольная блокировка», услуги связи на номере не работают, плата за тариф и услуги не списывается, кроме платы за саму блокировку.

В первые 14 дней «Добровольная блокировка» бесплатная. Затем списывается 1,1 руб/день.",https://support.mts.ru/mts_mobilnaya_svyaz/zamena-nomera-ili-sim-karti-i-pereoformlenie/chto-delat-esli-poteryalas-sim-karta
есим,"Слишком широкий запрос. Возможно вы имели в виду:
Как оформить новую eSIM
Как активировать eSIM
Что делать, если потерялся QR-код от eSIM или телефон с eSIM

","https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-oformit-novuyu-esim
https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-aktivirovat-esim
https://support.mts.ru/mts_mobilnaya_svyaz/esim/chto-delat-esli-poteryalsya-qr-kod-ot-esim-ili-telefon-s-esim"
е сим,"Слишком широкий запрос. Возможно вы имели в виду:
Как оформить новую eSIM
Как активировать eSIM
Что делать, если потерялся QR-код от eSIM или телефон с eSIM

","https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-oformit-novuyu-esim
https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-aktivirovat-esim
https://support.mts.ru/mts_mobilnaya_svyaz/esim/chto-delat-esli-poteryalsya-qr-kod-ot-esim-ili-telefon-s-esim"
подключить есим,"Перед оформлением eSIM проверьте, поддерживает ли ваше устройство эту технологию. Купить новую eSIM МТС можно на сайте МТС или в салоне экосистемы МТС.
На сайте МТС:
Оформить eSIM на сайте можно, если вы гражданин РФ старше 18 лет. Онлайн оформить eSIM можно не чаще двух раз в месяц. 
 1. На сайте вам будет предложен номер телефона и тариф. Если хотите выбрать другой номер или тариф, нажмите Изменить
 2. Введите контактный номер любого сотового оператора и подтвердите его кодом из СМС
 3. Введите cвой email, на который мы пришлём QR-код для активации eSIM. Подтвердите данные паспорта и подпишите договор
 4. Когда вы нажмёте кнопку Подписать, начнёт формироваться счёт на оплату. Обычно это занимает 5 минут, в редких случаях — до 20 минут
Если вы закроете страницу, счёт на оплату сформируется. Мы пришлём вам СМС со ссылкой на продолжение оплаты
 5. Введите реквизиты банковской карты и оплатите заказ
 6. На открывшемся экране вы сразу получите QR-код и ссылку для активации eSIM. Что делать дальше, рассказываем в статье Как активировать eSIM

В салоне экосистемы МТС:
Обратитесь в салон экосистемы МТС с паспортом. На водительское удостоверение зарегистрировать номер не получится.
Какие документы потребуются, если:
- вы гражданин другой страны — паспорт иностранного гражданина
- вы оформляете номер на другого человека — нотариальная доверенность от него и ваш паспорт
- вы оформляете номер на ребёнка от 14 до 18 лет — письменное согласие от родителя, оба паспорта ребёнка и родителя и их присутствие
Если вы гражданин другой страны, предварительно нужно зарегистрироваться на портале Госуслуги, а затем сдать биометрию
",https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-oformit-novuyu-esim
активировать есим,"Как активировать eSIM:
 1. Убедитесь, что устройство поддерживает технологию eSIM. Полный список моделей размещен на сайте МТС
 2. Подготовьте QR-код для загрузки eSIM
при оформлении eSIM на сайте МТС или в приложении Мой МТС QR-код отправляется на email, который вы указали
при оформлении eSIM в салоне экосистемы МТС или доставкой QR-код будет в полученном вами комплекте с ваучером
 3. Подключите устройство к интернету через Wi-Fi или к мобильному интернету другой SIM-карты
Не отключайте устройство от интернета и не выходите из меню до окончания процесса загрузки и включения eSIM — иногда процесс идёт небыстро
 4. Зайдите в меню телефона для сканирования QR-кода и активации eSIM.
iPhone с iOS версии 16.4.1 и выше:
Если в телефоне нет SIM-карты: Настройки > Сотовая связь > Настройка сотовых данных > Добавить eSIM.
Если в телефоне есть SIM-карта: Настройки > Сотовая связь > Добавить eSIM > По QR-коду.
Отсканируйте QR-код и на открывшемся экране Активировать eSIM нажмите Продолжить. После завершения активации нажмите Готово.

iPhone с iOS ниже версии 16.4.1: Настройки > Сотовая связь > Добавить сотовый тариф. Отсканируйте QR-код и нажмите Добавить сотовый тариф.

Samsung: Настройки > Подключения > Диспетчер SIM-карт > Добавление eSIM > Отсканировать QR-код поставщика услуг. Отсканируйте QR-код и нажмите Подключить. На открывшемся экране Добавление eSIM нажмите Добавить
",https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-aktivirovat-esim
потерял есим,"Если вы потеряли QR-код или телефон с eSIM, нужно заблокировать свой номер и заменить eSIM, как в случае потери пластиковой SIM-карты.
1. Заблокируйте номер телефона
Подключите добровольную блокировку одним из способов:
- в службе поддержки по номеру 8 800 250-08-90
- в салоне экосистемы МТС с паспортом
При добровольной блокировке услуги связи на номере не работают, плата за тариф и услуги не списывается, кроме платы за саму блокировку.
В первые 14 дней «Добровольная блокировка» бесплатная, далее за неё списывается 1,1 руб/день.

2. Замените eSIM
- в салоне экосистемы МТС с паспортом. Если вам нужно поменять eSIM для другого человека, потребуется нотариальная доверенность от её владельца и ваш паспорт. Замена бесплатная
- с помощью платной доставки
Новую eSIM нужно активировать по QR-коду, который вы получите при замене.
На новой eSIM останутся прежний номер телефона, тариф, баланс и услуги. Потерянная eSIM автоматически отключится от устройства, а её QR-код перестанет работать.

3. Отключите добровольную блокировку, чтобы снова пользоваться номером
- в приложении Мой МТС или в Личном кабинете — инструкция есть в статье Добровольная блокировка
- в контактном центре по номеру 8 800 250-08-90
- в салоне экосистемы МТС с паспортом

В первые 24 часа после замены SIM-карты могут быть ограничены отправка и получение СМС. Это мера безопасности для защиты баланса номера и привязанных к нему сервисов, включая банковские приложения и Госуслуги.",https://support.mts.ru/mts_mobilnaya_svyaz/esim/chto-delat-esli-poteryalsya-qr-kod-ot-esim-ili-telefon-s-esim
как вернуть деньги 300 рублей была ошибка,"Можно вернуть 300 рублей, если они были по ошибке отправлены на номер МТС
Вернуть платёж с ошибочного на правильный номер можно при условии, что:
- вы ошиблись не больше чем в 3 цифрах или поменяли местами не больше 4 цифр верного номера
- с момента оплаты прошло не более 14 дней
- сумма еще не потрачена
Для переноса платежа на номер МТС свяжитесь с нами по номеру 8 800 250-08-90

Если хотите вернуть платеж на банковскую карту, то нужно прийти в салон экосистемы МТС с паспортом и чеком ― бумажным или распечатанным из приложения вашего банка. В салоне вы заполните заявление на возврат. При этом:
- деньги можно вернуть только на банковскую карту, с которой был ошибочный платёж
- заявление должен написать владелец карты, с которой была оплата; подать его за родственника или знакомого не получится
Если все условия соблюдены, деньги вернутся на карту в срок до 30 дней.

Чтобы вернуть ошибочный платёж, отправленный на номер другого мобильного оператора, обратитесь в его службу поддержки",https://support.mts.ru/mts_mobilnaya_svyaz/popolnenie-schyota/kak-vernut-oshibochnii-platyozh
Абоненская плата по тарифу,"Узнать условия своего тарифа, в т.ч. абонентскую плату можно тремя способами.
В приложении Мой МТС:
На главном экране вы можете узнать название своего тарифа и размер пакетов интернета, минут, СМС и их остатки. Чтобы уточнить плату по тарифу и дату следующего списания, нажмите на название тарифа. Чтобы посмотреть полное описание тарифа, нажмите на кнопку О тарифе рядом с его названием.

В личном кабинете:
В разделе Мой тариф вы увидите название своего тарифа. Если он с абонентской платой, там же вы можете посмотреть её размер и дату списания. Чтобы посмотреть полное описание тарифа, нажмите Условия.

С помощью команды:
Наберите *111*59#. Вы получите СМС с названием вашего тарифа и ссылкой на страницу Тарифы на сайте МТС.",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-uznat-usloviya-svoego-tarifa
Автоматические настройки телефона,"Автоматические настройки телефона можно получить, подключив бесплатную услугу «Доступ без настроек», набрав *111*2156#.
Эта услуга позволит автоматически добавить необходимые параметры для настройки интернета и ММС.",https://support.mts.ru/mts_mobilnaya_svyaz/sms-i-mms/nastroiki-mms-na-telefone
Автоплатеж,"Автоплатёж нужен для того, чтобы не держать в голове даты списания платы по тарифу и других платежей. Он автоматически пополнит с вашей банковской карты баланс номера МТС. 

Один человек может подключить несколько автоплатежей с одной или нескольких банковских карт для пополнения разных номеров телефона ― не только своих, но и своих близких. Подключение автоплатежей бесплатно, комиссии за пополнение счёта тоже нет.

Подключить Автоплатеж можно одним из следующих способов.
В приложении Мой МТС:
1. На главном экране нажмите на сумму баланса
2. Нажмите Настроить автоплатёж
3. Нажмите на кнопку Подключить автоплатёж. Если у вас уже есть автоплатежи, кнопка будет называться Добавить новый
4. Заполните поля: напишите номер для пополнения, способ оплаты, название автоплатежа, вид автоплатежа, сумму пополнения и прочие параметры. Некоторые поля уже будут заполнены, можно указать в них свои значения. Далее нажмите Подключить
5. Вам придёт СМС с кодом. Введите его, чтобы подтвердить подключение автоплатежа

В Личном кабинете:
1. На главной странице нажмите Пополнить > Автоплатежи. Вы перейдёте на сайт МТС Оплата в раздел Автоплатежи. Если вы открываете Личный кабинет с компьютера, кнопка Автоплатежи будет рядом с балансом и кнопкой Пополнить
2. Нажмите Подключить автоплатёж
3. Выберите назначение автоплатежа — Моб. телефон МТС
4. Заполните поля: напишите номер для пополнения, способ оплаты, название автоплатежа, вид автоплатежа, сумму пополнения и прочие параметры. Некоторые поля уже будут заполнены, можно указать в них свои значения. Далее нажмите Подключить автоплатёж
5. Вам придёт СМС с кодом. Введите его, чтобы подтвердить подключение автоплатежа",https://support.mts.ru/mts_mobilnaya_svyaz/avtoplatyozh-na-nomer-mts/kak-podklyuchit-avtoplatyozh-na-nomer-mts
Автоплатеж убрать,"Чтобы отключить автоплатеж, вы можете воспользоваться одним из следующих способов в зависимости от того, где он был подключен:
В приложении Мой МТС:
1. На главном экране нажмите на сумму баланса
2. Нажмите Настроить автоплатёж
3. Нажмите на автоплатёж, который хотите отключить
4. В нижней части экрана нажмите Ещё действия
5. Нажмите Отключить

В Личном кабинете:
1. На главной странице нажмите Пополнить > Автоплатежи. Вы перейдёте на сайт МТС Оплата в раздел Автоплатежи
Если вы открываете Личный кабинет с компьютера, кнопка Автоплатежи будет рядом с балансом и кнопкой Пополнить
2. Выберите автоплатёж, который нужно отключить
3. Нажмите на значок корзины
4. Нажмите Удалить

Если автоплатёж был подключён не в сервисах МТС, а в приложении другого банка, отключить его можно там же. Если будут вопросы, обратитесь в службу поддержки этого банка.",https://support.mts.ru/mts_mobilnaya_svyaz/avtoplatyozh-na-nomer-mts/kak-otklyuchit-avtoplatyozh-na-nomer-mts
Автопродление,"Дополнительные пакеты интернета начинают автоматически подключаться после того, как закончился пакет интернета по тарифу. До следующего списания платы по тарифу может подключиться до 15 дополнительных пакетов. Стоимость каждого пакета списывается в момент его подключения. Если вы не хотите, чтобы по вашему номеру подключались дополнительные пакеты трафика, вы можете отключить автопродление, подключив бесплатную услугу «Отмена доп. интернета» через приложение Мой МТС или в Личном кабинете.

",https://support.mts.ru/mts_mobilnyy_internet/prodlenie-interneta/avtoprodlenie-interneta
Авторизация,"МТС ID — ваш единый аккаунт для входа во все сервисы экосистемы МТС. 

С ним не нужно держать в голове логины и пароли от разных продуктов и приложений. С МТС ID вы войдёте в приложение Мой МТС и Личный кабинет, в KION, МТС Музыку, Строки и множество других.

Как входить в приложения и на сайты с МТС ID:
Понадобится только ваш номер мобильного телефона МТС или любого другого сотового оператора РФ. Он будет вашим логином. Для входа введите ваш номер телефона и нажмите Далее. В ответ придёт СМС с кодом, введите его.
",https://support.mts.ru/mts_id/obschaya-informatsiya-o-mts-id/chto-takoe-mts-id-i-dlya-chego-on-nuzhen 
активация,"Слишком широкий запрос. Возможно вы имели в виду:
Активация SIM-карты саморегистрации
Активация eSIM
Активация промокодов в книжном сервисе Строки","https://support.mts.ru/mts_mobilnaya_svyaz/oformlenie-novoi-sim-karti/kak-aktivirovatsim-kartu-samoregistratsii
https://support.mts.ru/mts_mobilnaya_svyaz/esim/kak-aktivirovat-esim
https://support.mts.ru/stroki/aktsii-i-promokodi/aktivatsiya-promokodov_v_service"
Аренда,"Слишком широкий запрос. Возможно вы имели в виду:
Аренда павербанков Юрент
Аренда электросамокатов Юрент
Аренда роутера и ТВ-приставки","https://support.mts.ru/mts_urent/arenda-paverbankov
https://support.mts.ru/mts_urent/opisanie-tarifov-na-poezdki/tarifi-na-arendu-elektrosamokatov
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/oborudovanie/kak-poluchit-router-i-pristavku"
Аренда оботудования роутер,"Интернет-роутер и ТВ-приставку можно взять в аренду или купить.

Для их получения нужно подключить домашние услуги на свой адрес. Оставить заявку на подключение услуг можно на сайте [https://moskva.mts.ru/personal/dom/home-allmts/moskva]",https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/oborudovanie/kak-poluchit-router-i-pristavku
Архивная детализация,"Архивную детализацию расходов, давностью от полугода до трёх лет, можно получить только на электронную почту. Для этого необходимо:
В приложении Мой МТС:
1. Откройте Расходы
2. Нажмите ↓ Детализация
3. Выберите Отчёт по расходам
4. Выберите период и формат документа: PDF или XLSX
5. Нажмите Отправить на email

В Личном кабинете:
1. Перейдите в раздел Расходы
2. Нажмите Детализация и счёт
3. Выберите нужный период.
4. Выберите формат документа: PDF или XLSX.
5. Введите адрес электронной почты и нажмите Отправить на email
",https://support.mts.ru/mts_mobilnaya_svyaz/balans-i-spisaniya/kak-zakazat-detalizatsiyu
Без абонентской платы,"Если используете телефон только для разговоров, а мобильный интернет вам не нужен, подойдёт тариф МТС Налегке. На нём звонки и отправленные SMS оплачиваются по факту. Найти полное описание тарифа и перейти на него можно:
В приложении Мой МТС:
 1. На главном экране перейдите в раздел Каталог
 2. Выберите Тарифы
 3. Выберите категорию Для особых случаев
 4. Нажмите МТС Налегке
 5. Откроется страница с описанием тарифа МТС Налегке. Нажмите Перейти на этот тариф

В Личном кабинете:
 1. Перейдите в раздел Тарифы
 2. Чтобы найти тариф МТС Налегке, наберите его название в строке поиска или выберите категорию Для особых случаев
 3. Если нажмёте на название тарифа, увидите его полное описание. Для перехода на этот тариф нажмите Перейти",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-vibrat-tarif-bez-abonentskoi-plati-i-bez-interneta
"расходуется трафик, хотя у меня безлимит","Если у вас подключена опция для безлимитного интернета в соцсетях или мессенджерах, важно учитывать, что она действует только на трафик внутри этих сервисов, но не на встроенный контент с других ресурсов.
Это значит, что безлимит не будет распространяться на трафик, потраченный при просмотре такого контента. На него будет расходоваться мобильный интернет из пакета по тарифу.",https://support.mts.ru/mts_mobilnyy_internet/rashod-interneta/pochemu-internet-tratitsya-na-sotsseti-ili-videoservisi-kotorimi-vi-ne-polzovalis
Безлимит кион,"Услуга Безлимит на KION позволяет смотреть фильмы, сериалы и ТВ-каналы в онлайн-кинотеатре без расхода основного пакета мобильного интернета. Она рассчитана на использование до 200 ГБ в месяц, после чего скорость интернета снижается до следующей оплаты. Стоимость услуги составляет 49 ₽ в месяц на всех тарифах, кроме МТС Супер, где она предоставляется бесплатно.
Чтобы подключить Безлимит на KION, можно воспользоваться приложением Мой МТС или набрать команду *111*2535*1#.
Важно отметить, что безлимит работает даже без подписки на KION, например, при просмотре 20 бесплатных ТВ-каналов. Однако, если включен VPN или режим Инкогнито, трафик будет расходоваться.",https://support.mts.ru/kion/chto-takoe-kion/kak-ne-raskhodovat-internet-na-prosmotr-kion
